factura_id,fecha_emision,fecha_vencimiento,fecha_pago,cliente_id,cliente,sector,ciudad,vendedor,dias_credito,valor_factura,estado
F2025-0001,2025-01-03,2025-02-02,2025-02-01,C038,Química Industrial CB,Manufactura,Cali,D. Torres,30,20000000,pagada
F2025-0002,2025-01-10,2025-02-09,2025-02-09,C018,Ingeniería y Concreto,Construcción,Cali,D. Torres,30,32400000,pagada
F2025-0003,2025-01-28,2025-03-14,2025-03-08,C007,Servicios Logísticos Andinos,Servicios,Medellín,L. Vargas,45,3900000,pagada
F2025-0004,2025-01-24,2025-02-23,2025-03-03,C034,Muebles Modernos,Manufactura,Barranquilla,C. Peña,30,14900000,pagada
F2025-0005,2025-01-04,2025-02-03,2025-02-10,C026,Calzado Bucaramanga,Manufactura,Bogotá,D. Torres,30,15000000,pagada
F2025-0006,2025-01-12,2025-02-11,2025-02-08,C029,Autopartes La 30,Retail,Barranquilla,D. Torres,30,10400000,pagada
F2025-0007,2025-01-10,2025-02-24,2025-02-16,C004,Ferretería La 80,Retail,Barranquilla,A. Rojas,45,7200000,pagada
F2025-0008,2025-01-20,2025-03-06,2025-04-13,C013,Constructora Cimientos,Construcción,Cali,D. Torres,45,17800000,pagada
F2025-0009,2025-01-27,2025-03-13,2025-03-20,C031,Seguridad Total Ltda,Servicios,Bogotá,A. Rojas,45,7900000,pagada
F2025-0010,2025-01-05,2025-02-04,2025-02-05,C034,Muebles Modernos,Manufactura,Barranquilla,C. Peña,30,11600000,pagada
F2025-0011,2025-01-18,2025-02-17,2025-02-08,C018,Ingeniería y Concreto,Construcción,Cali,C. Peña,30,11500000,pagada
F2025-0012,2025-01-10,2025-02-09,2025-02-03,C033,Granos del Tolima,Agroindustria,Cali,L. Vargas,30,12000000,pagada
F2025-0013,2025-01-13,2025-02-12,2025-02-11,C034,Muebles Modernos,Manufactura,Barranquilla,C. Peña,30,25100000,pagada
F2025-0014,2025-01-08,2025-02-07,2025-02-07,C016,Insumos Agrícolas Llanos,Retail,Bogotá,J. Mora,30,5600000,pagada
F2025-0015,2025-01-03,2025-02-02,2025-03-22,C036,Construred,Construcción,Bogotá,A. Rojas,30,18900000,pagada
F2025-0016,2025-01-20,2025-03-21,2025-03-25,C012,Comercial Santa Fe,Retail,Medellín,C. Peña,60,10300000,pagada
F2025-0017,2025-01-16,2025-02-15,2025-02-17,C010,Café y Cosecha,Agroindustria,Bucaramanga,A. Rojas,30,5200000,pagada
F2025-0018,2025-01-14,2025-02-13,2025-02-15,C028,Papelería Nacional,Retail,Cali,J. Mora,30,9400000,pagada
F2025-0019,2025-01-04,2025-02-03,2025-01-27,C026,Calzado Bucaramanga,Manufactura,Bogotá,D. Torres,30,12600000,pagada
F2025-0020,2025-01-22,2025-03-23,2025-04-06,C006,Textiles Antioquia,Manufactura,Bogotá,D. Torres,60,15500000,pagada
F2025-0021,2025-01-06,2025-02-05,2025-02-20,C034,Muebles Modernos,Manufactura,Barranquilla,C. Peña,30,16400000,pagada
F2025-0022,2025-01-05,2025-02-19,2025-02-13,C008,Supermercados La Economía,Retail,Cali,D. Torres,45,6400000,pagada
F2025-0023,2025-01-28,2025-02-27,2025-03-06,C033,Granos del Tolima,Agroindustria,Cali,D. Torres,30,5400000,pagada
F2025-0024,2025-01-09,2025-02-23,2025-02-16,C001,Almacenes El Dorado,Retail,Bogotá,A. Rojas,45,4400000,pagada
F2025-0025,2025-01-14,2025-03-15,2025-04-03,C032,Acabados y Pinturas,Construcción,Medellín,J. Mora,60,32100000,pagada
F2025-0026,2025-01-19,2025-03-20,2025-03-14,C032,Acabados y Pinturas,Construcción,Medellín,D. Torres,60,26500000,pagada
F2025-0027,2025-01-16,2025-03-17,2025-03-12,C032,Acabados y Pinturas,Construcción,Medellín,D. Torres,60,24800000,pagada
F2025-0028,2025-01-16,2025-02-15,2025-03-23,C027,Constructora Horizonte,Construcción,Medellín,D. Torres,30,16700000,pagada
F2025-0029,2025-01-11,2025-03-12,2025-04-17,C019,Plásticos del Pacífico,Manufactura,Barranquilla,L. Vargas,60,15000000,pagada
F2025-0030,2025-01-09,2025-02-08,2025-02-06,C029,Autopartes La 30,Retail,Barranquilla,D. Torres,30,4000000,pagada
F2025-0031,2025-01-04,2025-03-05,2025-03-22,C012,Comercial Santa Fe,Retail,Medellín,C. Peña,60,9600000,pagada
F2025-0032,2025-01-27,2025-03-28,2025-03-26,C032,Acabados y Pinturas,Construcción,Medellín,J. Mora,60,34200000,pagada
F2025-0033,2025-01-28,2025-03-29,2025-03-25,C023,Electrodomésticos La Rebaja,Retail,Cali,C. Peña,60,5500000,pagada
F2025-0034,2025-01-16,2025-03-17,2025-05-04,C019,Plásticos del Pacífico,Manufactura,Barranquilla,C. Peña,60,9700000,pagada
F2025-0035,2025-01-27,2025-03-13,2025-03-18,C021,Consultores Empresariales BGA,Servicios,Bogotá,C. Peña,45,9900000,pagada
F2025-0036,2025-01-18,2025-03-19,2025-03-16,C023,Electrodomésticos La Rebaja,Retail,Cali,D. Torres,60,8300000,pagada
F2025-0037,2025-01-06,2025-02-05,2025-02-28,C002,Constructora Monserrate,Construcción,Medellín,A. Rojas,30,17900000,pagada
F2025-0038,2025-01-28,2025-03-29,2025-04-14,C006,Textiles Antioquia,Manufactura,Bogotá,L. Vargas,60,15100000,pagada
